id_type,price,address,number_of_part,img_link
Location,1300000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4986356_uploaded_image1_1728549238.jpg
Location,850000,"Sicap Liberté, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5027454_uploaded_image1_1730794876.jpg
Location,1200000,"Ouest Foire, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5015055_uploaded_image1_1730134212.jpg
Vente,349622698,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4982869_uploaded_image1_1728391260.jpg
Location,900000,"Sipres, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_4985511_uploaded_image1_1728503286.jpg
Location,2500000,"Hann Bel-Air, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4981340_uploaded_image1_1728313482.jpg
Location,1300000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4981157_uploaded_image1_1728306551.jpg
Location,130000,"Diamniadio, Sénégal",4,https://images.coinafrique.com/thumb_5024307_uploaded_image1_1730627758.jpg
Vente,135000000,"Lac rose, Sénégal",3,https://images.coinafrique.com/thumb_5024253_uploaded_image1_1730623980.jpg
Vente,60000000,"Lac rose, Sénégal",2,https://images.coinafrique.com/thumb_5024249_uploaded_image1_1730623667.jpg
Location,700000,"Mamelles, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5023515_uploaded_image2_1730563179.jpeg
Location,750000,"Ouakam, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5023258_uploaded_image1_1730551981.jpg
Location,2500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",10,https://images.coinafrique.com/thumb_5022511_uploaded_image1_1730504266.jpg
Vente,525000000,"Patte d'oie, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5021400_uploaded_image1_1730462795.jpg
Location,1300000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4977831_uploaded_image1_1728079358.jpg
Vente,185500000,"Patte d'oie, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5020260_uploaded_image1_1730402195.jpg
Vente,100000000,"Sicap Liberté, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4977582_uploaded_image1_1728066436.jpg
Location,250000,"Rufisque, Sénégal",5,https://images.coinafrique.com/thumb_5019991_uploaded_image1_1730392101.jpg
Location,1600000,"Almadies, Dakar, Sénégal",8,https://images.coinafrique.com/thumb_4977138_uploaded_image1_1728050592.jpg
Vente,110000000,"Dakar, Sénégal",2,https://images.coinafrique.com/thumb_5019214_uploaded_image1_1730365558.jpg
Location,350000,"Mbao, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_4975936_uploaded_image1_1727992392.jpg
