web-scraper-order,web-scraper-start-url,terrains_links,terrains_links-href,area,price,address,images_links
1732755336-948,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain - Sébikotane,https://sn.coinafrique.com/annonce/terrains/vente-terrain-sebikotane-2855627,150 m2,3 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2855627_uploaded_image1_1609120110.jpg""); width: 534px;"
1732755340-949,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain - Saint louis,https://sn.coinafrique.com/annonce/terrains/vente-terrain-saint-louis-2855630,5000 m2,8 000 000 CFA,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/2855630_uploaded_image1_1609120552.jpg""); width: 534px;"
1732755345-950,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain 150 m² - Bargny,https://sn.coinafrique.com/annonce/terrains/terrain-150-m-bargny-2856119,,4 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2856119_uploaded_image1_1609151408.jpg""); width: 445px;"
1732755349-951,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain 150 m²  - Dakar,https://sn.coinafrique.com/annonce/terrains/terrain-150-m-dakar-2856136,150,15 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2856136_uploaded_image1_1609151969.jpg""); width: 449px;"
1732755353-952,https://sn.coinafrique.com/categorie/terrains?page=108,Terrains 300  m2 - Thiès Diass,https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-thies-diass-2856182,300,3 000 008 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2856182_uploaded_image1_1609152893.jpg""); width: 508px;"
1732755357-953,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain 150 m2 - Rufisque,https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-rufisque-2856443,150 m2,10 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2856443_uploaded_image1_1609160220.jpg""); width: 547px;"
1732755360-954,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain 190 m2  - Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrain-190-m2-keur-massar-2856477,190 m2,75 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2856477_uploaded_image1_1609160895.jpg""); width: 547px;"
1732755366-955,https://sn.coinafrique.com/categorie/terrains?page=108,Terrains 300 m²  - Almadies,https://sn.coinafrique.com/annonce/terrains/terrains-300-m-almadies-2856997,300,50 000 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2856997_uploaded_image1_1609176064.jpg""); width: 456px;"
1732755371-956,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 300m² - Keur Massar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-300m-keur-massar-2857195,300 m2,19 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2857195_uploaded_image1_1609183857.jpg""); width: 393px;"
1732755377-957,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 150m² - Rufisque Dangou,https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-rufisque-dangou-2857517,150 m2,11 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2857517_uploaded_image1_1609195386.jpg""); width: 617px;"
1732755382-958,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrains 225 m² - Thiès,https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m-thies-2857544,225,350 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2857544_uploaded_image1_1609197091.jpg""); width: 530px;"
1732755387-959,https://sn.coinafrique.com/categorie/terrains?page=108,Terrains 300 m²  - Mbour,https://sn.coinafrique.com/annonce/terrains/terrains-300-m-mbour-2857678,300,1 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2857678_uploaded_image1_1609205927.jpg""); width: 423px;"
1732755392-960,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain  - Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-2857814,150 m2,13 500 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2857814_uploaded_image1_1609226396.jpg""); width: 543px;"
1732755395-961,https://sn.coinafrique.com/categorie/terrains?page=108,Terrains 150 m2 - Rufisque,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-2858273,150,6 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2858273_uploaded_image1_1609244097.jpg""); width: 548px;"
1732755400-962,https://sn.coinafrique.com/categorie/terrains?page=108,Terrains - Ndiakhirate,https://sn.coinafrique.com/annonce/terrains/terrains-ndiakhirate-2858293,150 m2,Prix sur demande,"Diourbel, Sénégal","background-image: url(""https://images.coinafrique.com/2858293_uploaded_image1_1609244722.jpg""); width: 478px;"
1732755403-963,https://sn.coinafrique.com/categorie/terrains?page=108,Terrains - Bambilor - Gorom 1 et 2,https://sn.coinafrique.com/annonce/terrains/terrains-bambilor-gorom-1-et-2-2858346,150 m2,1 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2858346_uploaded_image1_1609246707.jpg""); width: 412px;"
1732755408-964,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain  - Gorom 2,https://sn.coinafrique.com/annonce/terrains/terrain-gorom-2-2858662,35000 m2,Prix sur demande,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2858662_uploaded_image1_1609254783.jpg""); width: 369px;"
1732755413-965,https://sn.coinafrique.com/categorie/terrains?page=108,Terrains 300 m²  - Mbao,https://sn.coinafrique.com/annonce/terrains/terrains-300-m-mbao-2858781,300,15 000 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2858781_uploaded_image1_1609259093.jpg""); width: 533px;"
1732755423-966,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain 150 m2 - Nord Foire,https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-nord-foire-2860392,,55 000 000 CFA,"Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2860392_uploaded_image2_1609346159.jpeg""); width: 590px;"
